"Job_Link","Title","Industry","Job_Category_parent","Job_Category","Salary_Mode","Min_Salary","Max_Salary","Skills","Job_Type","Work Arrangement","Education","Experience"
"https://glints.com/id/opportunities/jobs/1ba1a0aa-8292-4b34-ac1b-df2a879498bd","Head of Warehouse & Logistics","Consumer Goods","Storage","Warehouse Coordinator","MONTH","4000000","5000000","Warehouse Management, Stock Opname, Inventory Management, Logistics Management","FULL_TIME","ONSITE","BACHELOR_DEGREE","3"
"https://glints.com/id/opportunities/jobs/1b456b76-7bc6-457b-bb7a-f345129a1a10","Accounting/Tax Asisten Manager","Manufacturing","Accounting","Tax Accountant","MONTH","9000000","12000000","Accounting, Tax Planning, MYOB, Zahir Software, Tax Audit, Microsoft Excel, Tax Reporting, Tax Accounting, SAP, Financial Analysis","FULL_TIME","ONSITE","BACHELOR_DEGREE","3"
"https://glints.com/id/opportunities/jobs/1b31dc1b-e12c-4733-94d3-753be4086a0e","Marketing & Social Media Strategist","Marketing and Advertising","Marketing","Marketing Professionals","MONTH","4500000","5000000","Marketing Communications, Content Marketing, Digital Marketing, Team Management, Google Analytics, Social Media","FULL_TIME","REMOTE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/1ad60bf2-4729-4106-9aac-4f6512163013","DRIVER SELF LOADER","Facilities Services","Supply Chain, Logistics & Transportation","Logistics Driver","MONTH","5500000","6000000","Driving, Vehicle Maintenance, Forklift, Self Loader, Delivery, Logistics Distribution","CONTRACT","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/1a948125-1cae-4ec6-9030-04abb73bacea","Campaign Intern","Consumer Goods","Marketing","Campaign Specialist","MONTH","2500000","","Campaign Management, Content Marketing, Marketing Planning","INTERNSHIP","ONSITE","DIPLOMA","0"
"https://glints.com/id/opportunities/jobs/1a5c9170-8b08-425a-80a4-17e7ee6398f0","Nailist","Cosmetics","Services Industry","Beautician","MONTH","2000000","3000000","teliti, Customer Service, Jujur, Nail Art, Bekerjasama Dengn Tim","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/1a47bcb5-50dd-4365-a707-4d7e94fc2af4","HR Officer","Food & Beverages","Human Resources","Human Resources Specialist & Assistant","MONTH","4000000","4500000","Human Resource Development (HRD), HRIS Database Management, Microsoft Office, Administration","CONTRACT","ONSITE","DIPLOMA","1"
"https://glints.com/id/opportunities/jobs/19ee07dc-3ede-462a-bcb9-370399349444","MARKETING AKUISISI (Madiun)","Retail","Marketing","Marketing Professionals","MONTH","1800000","2800000","B2B Marketing, Marketing Communications, Marketing Strategy","CONTRACT","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/19d45f81-e117-47b7-a8a4-6a32fb94ce11","Full Stack Developer","Marketing and Advertising","Backend Development","Full Stack Developer","MONTH","6000000","8000000","MySQL, JavaScript, Node.js","FULL_TIME","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/199ebcf4-2b30-4e52-992c-cc4fc9e38c3c","Dormitory Principle","Education Management","Education & Training","English Teacher","MONTH","1500000","2500000","Language Teaching, English Language, Teamwork","FULL_TIME","ONSITE","DIPLOMA","0"
"https://glints.com/id/opportunities/jobs/1978d699-5d3b-45c1-a5ce-dc8150d847b5","Learning Designer Freelance","Professional Training & Coaching","Visual & Interactive Design","Graphic & Brand Designer","MONTH","1500000","2000000","Adobe Illustrator,   Workshop Flow, Management Skills, Graphic Design, Silabus, Designing Learning Stimulus., Learning Proses Desain","PART_TIME","HYBRID","BACHELOR_DEGREE","5"
"https://glints.com/id/opportunities/jobs/196d3426-0f7b-4017-8832-e7996330f1cc","Perawat Klinik","Health, Wellness and Fitness","Nursing & Medical Support","Nurse","MONTH","3500000","4000000","Self Learning, Medical and Healthcare, Communication Skills","FULL_TIME","ONSITE","DIPLOMA","1"
"https://glints.com/id/opportunities/jobs/1938a65b-c697-4819-a949-78c728b66430","Back-end Developer","Information Technology and Services","Backend Development","Backend Developer","MONTH","6000000","8000000","PostgreSQL, MySQL, Go / Golang","FULL_TIME","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/192277b0-f736-4610-a715-4b76340cd286","Sales Representative","Consumer Services","Business Development & Sales","Sales Operations","MONTH","2000000","3000000","Communication Skills, Sales and Marketing, Sales Strategy","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
